"SESSION_ID","SESSION_NAME","DEPARTMENT_ID","DEPARTMENT_NAME","HOD","COURSE_ID","COURSE_NAME","FACULTY_ID","FACULTY_NAME","JOB_ID","HIRE_DATE","SALARY"
100,"SPRING SESSION",10,"ACCOUNTING","MARK SMITH",192,"COST ACCOUNTING",100,"Steven King","FA_ST","2013-06-17T00:00:00Z",4000
100,"SPRING SESSION",10,"ACCOUNTING","MARK SMITH",193,"STRATEGIC TAX PLANNING FOR BUSINESS",100,"Steven King","FA_ST","2013-06-17T00:00:00Z",4000
100,"SPRING SESSION",10,"ACCOUNTING","MARK SMITH",190,"PRINCIPLES OF ACCOUNTING",104,"Bruce Ernst","FA_SF","2012-05-21T00:00:00Z",6000
100,"SPRING SESSION",10,"ACCOUNTING","MARK SMITH",191,"INTRODUCTION TO BUSINESS LAW",105,"David Austin","FA_SF","2015-06-25T00:00:00Z",4800
100,"SPRING SESSION",40,"LITERATURE","ANITA TAYLOR",189,"COLLEGE READING",101,"Neena Kochhar","FA_ST","2015-09-21T00:00:00Z",6000
200,"FALL SESSION",20,"BIOLOGY","DAVE GOLD",196,"INTRODUCTION TO PLANT PHYSIOLOGY",102,"Lex De Haan","FA_AF","2011-01-13T00:00:00Z",15000
200,"FALL SESSION",20,"BIOLOGY","DAVE GOLD",194,"GENERAL BIOLOGY",103,"Alexander Hunold","FA_AF","2014-01-03T00:00:00Z",9000
200,"FALL SESSION",20,"BIOLOGY","DAVE GOLD",195,"CELL BIOLOGY",104,"Bruce Ernst","FA_SF","2012-05-21T00:00:00Z",6000
200,"FALL SESSION",20,"BIOLOGY","DAVE GOLD",197,"MARINE BIOLOGY",109,"Daniel Faviet","FA_HOD","2012-08-16T00:00:00Z",39000
200,"FALL SESSION",40,"LITERATURE","ANITA TAYLOR",176,"BUSINESS WRITING",101,"Neena Kochhar","FA_ST","2015-09-21T00:00:00Z",6000
300,"SUMMER SESSION",30,"COMPUTER SCIENCE","LINDA BROWN",199,"WEB PROGRAMMING",106,"Valli Pataballa","FA_PF","2011-02-05T00:00:00Z",28000
300,"SUMMER SESSION",30,"COMPUTER SCIENCE","LINDA BROWN",198,"SIMULATION AND MODELING",106,"Valli Pataballa","FA_PF","2011-02-05T00:00:00Z",28000
300,"SUMMER SESSION",30,"COMPUTER SCIENCE","LINDA BROWN",187,"DATA STRUCTURES",107,"Diana Lorentz","FA_PF","2010-02-07T00:00:00Z",18000
300,"SUMMER SESSION",30,"COMPUTER SCIENCE","LINDA BROWN",188,"OOAD",108,"Nancy Greenberg","FA_HOD","2012-08-17T00:00:00Z",21200
300,"SUMMER SESSION",40,"LITERATURE","ANITA TAYLOR",175,"AMERICAN LITERATURE",107,"Diana Lorentz","FA_PF","2010-02-07T00:00:00Z",18000
