"FACULTY_ID","FACULTY_NAME","JOB_ID","COURSE_ID","COURSE_NAME"
100,"Steven King","FA_ST",192,"COST ACCOUNTING"
100,"Steven King","FA_ST",193,"STRATEGIC TAX PLANNING FOR BUSINESS"
101,"Neena Kochhar","FA_ST",176,"BUSINESS WRITING"
101,"Neena Kochhar","FA_ST",189,"COLLEGE READING"
102,"Lex De Haan","FA_AF",196,"INTRODUCTION TO PLANT PHYSIOLOGY"
103,"Alexander Hunold","FA_AF",194,"GENERAL BIOLOGY"
104,"Bruce Ernst","FA_SF",190,"PRINCIPLES OF ACCOUNTING"
104,"Bruce Ernst","FA_SF",195,"CELL BIOLOGY"
105,"David Austin","FA_SF",191,"INTRODUCTION TO BUSINESS LAW"
106,"Valli Pataballa","FA_PF",198,"SIMULATION AND MODELING"
106,"Valli Pataballa","FA_PF",199,"WEB PROGRAMMING"
107,"Diana Lorentz","FA_PF",175,"AMERICAN LITERATURE"
107,"Diana Lorentz","FA_PF",187,"DATA STRUCTURES"
108,"Nancy Greenberg","FA_HOD",188,"OOAD"
109,"Daniel Faviet","FA_HOD",197,"MARINE BIOLOGY"
